order_id,customer_id,order_date,status,region_code
ORD00001,CUST0479,2026-05-01 05:05:59,RETURNED,NORTH
ORD00002,CUST0391,2025-11-05 14:55:54,CANCELLED,CENTRAL
ORD00003,CUST0224,2025-10-03 13:17:02,SHIPPED,WEST
ORD00004,CUST0477,2024-10-27 00:11:26,PLACED,WEST
ORD00005,CUST0121,2026-04-22 05:31:28,PLACED,EAST
ORD00006,CUST0164,2025-06-09 00:26:04,DELIVERED,SOUTH
ORD00007,CUST0147,2026-04-07 14:58:37,CANCELLED,SOUTH
ORD00008,CUST0241,2024-12-23 12:23:46,PLACED,NORTH
ORD00009,UNKNOWN,2025-09-20 03:37:24,SHIPPED,CENTRAL
ORD00010,CUST0312,2025-06-07 02:45:40,PLACED,EAST
ORD00011,CUST0063,2024-12-26 03:30:23,CANCELLED,CENTRAL
ORD00012,CUST0057,2024-10-23 17:13:53,CANCELLED,CENTRAL
ORD00013,CUST0324,2024-10-30 06:05:31,SHIPPED,SOUTH
ORD00014,CUST0001,2025-03-12 20:29:03,SHIPPED,CENTRAL
ORD00015,CUST0341,2025-12-19 10:24:23,RETURNED,EAST
ORD00016,CUST0270,2026-04-25 07:23:28,RETURNED,CENTRAL
ORD00017,UNKNOWN,2026-04-13 12:19:09,PLACED,WEST
ORD00018,CUST0130,2026-02-26 14:57:47,DELIVERED,NORTH
ORD00019,CUST0376,2026-05-10 10:29:58,PLACED,CENTRAL
ORD00020,CUST0171,2025-02-17 22:44:10,DELIVERED,CENTRAL
ORD00021,CUST0330,2024-11-29 09:30:45,CANCELLED,WEST
ORD00022,CUST0416,2024-09-22 10:19:50,CANCELLED,NORTH
ORD00023,CUST0023,2025-02-01 14:37:43,PLACED,EAST
ORD00024,CUST0264,2025-05-15 05:16:06,RETURNED,WEST
ORD00025,CUST0386,2025-10-18 12:56:08,DELIVERED,EAST
ORD00026,CUST0025,2025-02-21 13:46:56,DELIVERED,EAST
ORD00027,CUST0189,2024-09-12 06:52:40,CANCELLED,WEST
ORD00028,CUST0198,2025-11-27 23:32:48,SHIPPED,WEST
ORD00029,CUST0189,2025-03-27 04:53:55,RETURNED,EAST
ORD00030,CUST0373,2025-11-12 03:33:53,CANCELLED,CENTRAL
ORD00031,CUST0093,2025-03-17 11:00:54,DELIVERED,NORTH
ORD00032,CUST0339,2024-12-04 13:54:25,CANCELLED,CENTRAL
ORD00033,CUST0086,2025-12-22 16:10:48,DELIVERED,WEST
ORD00034,UNKNOWN,2025-03-28 11:11:32,DELIVERED,CENTRAL
ORD00035,CUST0141,2025-10-20 05:55:35,PLACED,NORTH
ORD00036,CUST0208,2026-03-04 02:36:17,SHIPPED,NORTH
ORD00037,CUST0312,2026-02-26 18:53:14,CANCELLED,NORTH
ORD00038,CUST0121,2025-11-29 21:22:34,DELIVERED,EAST
ORD00039,CUST0291,2025-06-06 03:38:54,SHIPPED,WEST
ORD00040,CUST0191,2024-12-25 14:38:13,PLACED,CENTRAL
ORD00041,CUST0188,2026-06-27 20:28:16,DELIVERED,SOUTH
ORD00042,CUST0014,2025-08-20 09:39:18,CANCELLED,CENTRAL
ORD00043,CUST0288,2026-04-01 08:57:11,DELIVERED,WEST
ORD00044,CUST0314,2026-02-25 05:13:02,CANCELLED,SOUTH
ORD00045,CUST0437,2025-03-09 04:04:28,SHIPPED,WEST
ORD00046,CUST0415,2024-09-21 11:43:11,DELIVERED,EAST
ORD00047,CUST0282,2026-04-05 15:13:11,DELIVERED,SOUTH
ORD00048,CUST0475,2025-11-23 20:01:27,SHIPPED,EAST
ORD00049,CUST0063,2025-06-14 15:09:39,SHIPPED,SOUTH
ORD00050,CUST0014,2025-02-15 00:24:14,RETURNED,EAST
ORD00051,CUST0283,2025-05-05 18:53:28,PLACED,NORTH
ORD00052,CUST0368,2025-12-05 10:45:28,RETURNED,WEST
ORD00053,CUST0422,2026-01-20 22:52:13,SHIPPED,EAST
ORD00054,CUST0231,2025-12-15 05:35:33,RETURNED,EAST
