product_id,product_name,category,subcategory,cost_price
PROD0001,Aperiam Bedding Nesciunt,Home,Bedding,4442.82
PROD0002,Placeat Fiction Recusandae,Books,Fiction,3437.78
PROD0003,Iusto Furniture Officiis,Home,Furniture,537.29
PROD0004,Dicta Accessories Provident,Electronics,Accessories,193.29
PROD0005,Vel Kitchen Sint,Home,Kitchen,770.57
PROD0006,Aut Non-Fiction Suscipit,Books,Non-Fiction,4360.66
PROD0007,Accusantium Sports Iusto,Clothing,Sports,2332.69
PROD0008,Maiores Bedding Cupiditate,Home,Bedding,4032.93
PROD0009,Quae Furniture Sapiente,Home,Furniture,4938.88
PROD0010,Consequuntur Bedding Ad,Home,Bedding,1545.5
PROD0011,Necessitatibus Comics Dignissimos,Books,Comics,1826.85
PROD0012,Quia Decor Explicabo,Home,Decor,2009.24
PROD0013,Similique Mobile Dolorem,Electronics,Mobile,4172.55
PROD0014,Culpa Furniture Fugit,Home,Furniture,3201.26
PROD0015,Culpa Furniture Vero,Home,Furniture,3249.39
PROD0016,Temporibus Bedding Veritatis,Home,Bedding,700.49
PROD0017,Mollitia Decor Blanditiis,Home,Decor,704.19
PROD0018,Iure Decor At,Home,Decor,4132.21
PROD0019,Itaque Academic Assumenda,Books,Academic,620.09
PROD0020,Et Laptop Consequatur,Electronics,Laptop,3397.8
PROD0021,Tempora Academic Vitae,Books,Academic,1359.07
PROD0022,Nihil Accessories Error,Electronics,Accessories,1347.7
PROD0023,Fugiat Academic Eveniet,Books,Academic,173.87
PROD0024,Assumenda Furniture Ipsum,Home,Furniture,2348.12
PROD0025,Velit Bedding Sunt,Home,Bedding,234.2
PROD0026,Temporibus Fiction Vel,Books,Fiction,721.54
PROD0027,Assumenda Academic Magni,Books,Academic,4732.57
PROD0028,Dolore Non-Fiction Harum,Books,Non-Fiction,4176.78
PROD0029,Ullam Academic At,Books,Academic,2244.75
PROD0030,Nobis Kids Autem,Clothing,Kids,2745.11
PROD0031,Autem Kitchen Voluptate,Home,Kitchen,654.69
PROD0032,Accusamus Fiction Debitis,Books,Fiction,3005.87
PROD0033,Odit Mobile Praesentium,Electronics,Mobile,673.32
PROD0034,Impedit Men Dolorem,Clothing,Men,2952.6
PROD0035,Odit Kids Accusamus,Clothing,Kids,3000.11
PROD0036,Animi Furniture Eius,Home,Furniture,4002.64
PROD0037,Voluptatem Mobile Culpa,Electronics,Mobile,3952.74
PROD0038,Maxime Kitchen Ut,Home,Kitchen,3721.5
PROD0039,Minima Mobile Animi,Electronics,Mobile,2590.53
PROD0040,Nisi Accessories Exercitationem,Electronics,Accessories,264.66
PROD0041,Laborum Bedding Tempora,Home,Bedding,4993.0
PROD0042,Officia Comics A,Books,Comics,4553.02
PROD0043,Sunt Mobile Placeat,Electronics,Mobile,674.65
PROD0044,Inventore Bedding Beatae,Home,Bedding,2295.89
PROD0045,Mollitia Fiction Corrupti,Books,Fiction,3290.83
PROD0046,Adipisci Sports Autem,Clothing,Sports,1727.71
PROD0047,Eveniet Comics Ratione,Books,Comics,2162.48
PROD0048,Temporibus Decor Adipisci,Home,Decor,2397.63
PROD0049,Culpa Mobile Ea,Electronics,Mobile,3707.04
PROD0050,Sequi Men Sunt,Clothing,Men,1681.75
PROD0051,Iusto Accessories Labore,Electronics,Accessories,3763.91
PROD0052,Nemo Tablet Debitis,Electronics,Tablet,2910.7
PROD0053,Tenetur Women Quibusdam,Clothing,Women,585.68
PROD0054,Officiis Kitchen Dolores,Home,Kitchen,4045.75
PROD0055,Quasi Tablet Tenetur,Electronics,Tablet,3823.93
PROD0056,Occaecati Decor Maiores,Home,Decor,2853.29
PROD0057,Asperiores Fiction Sunt,Books,Fiction,201.75
PROD0058,Facilis Sports Eum,Clothing,Sports,1881.76
PROD0059,Ipsum Kitchen Animi,Home,Kitchen,3784.46
PROD0060,Consequatur Mobile Voluptatem,Electronics,Mobile,2454.03
PROD0061,Commodi Comics Quibusdam,Books,Comics,613.4
PROD0062,Voluptate Fiction Voluptatibus,Books,Fiction,2458.83
PROD0063,Unde Kitchen Sequi,Home,Kitchen,321.17
PROD0064,Commodi Kids Voluptatibus,Clothing,Kids,3832.6
PROD0065,Sequi Decor Et,Home,Decor,2181.74
PROD0066,Doloremque Sports Dolor,Clothing,Sports,2815.68
PROD0067,A Kitchen Officiis,Home,Kitchen,2209.29
PROD0068,Consequatur Fiction Itaque,Books,Fiction,2888.33
PROD0069,Accusantium Academic Nulla,Books,Academic,1657.6
PROD0070,Ut Academic Assumenda,Books,Academic,1254.42
PROD0071,Maxime Fiction A,Books,Fiction,1730.59
PROD0072,Molestiae Furniture Libero,Home,Furniture,2676.49
PROD0073,Quisquam Kids Perspiciatis,Clothing,Kids,3244.94
PROD0074,Impedit Women Nemo,Clothing,Women,908.82
PROD0075,Nostrum Men Quas,Clothing,Men,2495.88
PROD0076,Repellendus Academic Architecto,Books,Academic,797.24
PROD0077,Neque Accessories Quae,Electronics,Accessories,1409.63
PROD0078,Corporis Tablet Voluptates,Electronics,Tablet,2286.97
PROD0079,Eos Tablet Sequi,Electronics,Tablet,4328.04
PROD0080,Eos Accessories Cum,Electronics,Accessories,3969.5
PROD0081,Doloremque Accessories Aliquam,Electronics,Accessories,981.79
PROD0082,Ut Non-Fiction Quam,Books,Non-Fiction,4064.29
PROD0083,Beatae Kitchen Eius,Home,Kitchen,1276.33
PROD0084,Placeat Comics Quos,Books,Comics,1851.29
PROD0085,Ipsum Bedding Fugiat,Home,Bedding,3009.54
PROD0086,Recusandae Kitchen Magni,Home,Kitchen,1963.49
PROD0087,Ipsa Furniture Mollitia,Home,Furniture,750.07
PROD0088,Iste Decor Rerum,Home,Decor,1990.19
PROD0089,Soluta Tablet Sint,Electronics,Tablet,1675.96
PROD0090,Delectus Men Voluptatum,Clothing,Men,1841.05
PROD0091,Quas Decor Amet,Home,Decor,4740.96
PROD0092,Voluptates Non-Fiction Sunt,Books,Non-Fiction,431.97
PROD0093,Modi Mobile Debitis,Electronics,Mobile,3109.26
PROD0094,Beatae Non-Fiction Voluptate,Books,Non-Fiction,3866.93
PROD0095,Cumque Sports Dignissimos,Clothing,Sports,3611.95
PROD0096,Doloremque Academic Sint,Books,Academic,1208.31
PROD0097,Voluptas Kids Impedit,Clothing,Kids,4524.67
PROD0098,Odit Kids Itaque,Clothing,Kids,2230.96
PROD0099,Laudantium Bedding Ab,Home,Bedding,852.19
PROD0100,Quam Women Provident,Clothing,Women,2428.92
